t,iq,id,vq,vd,ia,ib,va,vb,theta_e,omega,omega_obs,r,T_ass,S_pct,iq_ref
2.63,0.0930753694262326,0.00511950587604727,8.53556237536915,-0.173145048032804,0.0848325084416986,0.0386352073339034,7.48157327725298,4.11240386739554,-1.08848809671908,998.727376212922,998.776481624895,999.948118454723,0.45,8.1737848655428,0.102835926622536
2.64,0.141908348578105,-0.0339478966564768,8.47702967735082,-0.290633928589255,-0.0335472099198263,0.142003604849168,-0.266705447225186,8.47781625393911,-0.00282261078328374,1003.88958996793,995.980706168868,999.948118454723,0.45,8.1737848655428,0.132147829697843
2.65,0.132157983492347,0.0343907171409634,8.47690799925139,-0.407818186316465,-0.0970380603307843,0.0960836556000674,-7.53625143505419,3.90246066072501,1.04491824185174,995.994439519069,998.77010219138,999.948118454723,0.45,8.1737848655428,0.132147829697843
2.66,0.13215802180839,-0.102270954075506,8.53559227736046,0.0612835630873849,-0.051322343115772,-0.159031782587407,-7.07915603197203,-4.76923904574244,2.17083314112046,1003.91553074058,998.672442812033,999.948118454723,0.45,8.1737848655428,0.14191846405628
2.67,0.044222350898799,0.0636613153469018,8.1250147497409,-0.407570435627486,-0.0579196606580516,-0.0515140010091463,1.37572914443829,-8.01806383515671,-3.02178893292365,995.980706168868,1003.85449362851,999.948118454723,0.45,8.1737848655428,0.0344414861134865
2.68,0.0931679796932994,-0.0241823200371289,9.18032279353775,-0.290633928589255,0.0944375150178647,-0.0186175401103302,8.39803545862303,-3.71964986385899,-2.01939393618384,1003.91553074058,998.727376212922,999.948118454723,0.45,8.1737848655428,0.210312904565329
2.69,-0.0436617463985058,-0.0730097241811843,8.65265226803789,0.296383818030896,-0.07569098209443,0.0388283807692353,7.49777544217557,4.32892573947401,-1.01294910661272,993.868822090548,1000.92471224818,999.948118454723,0.45,8.1737848655428,0.0344414861134865
2.7,0.171214849068232,-0.0241668019737744,8.41840819342356,-0.290696096513762,-0.0367385187137841,0.168964020139834,-0.911279161583308,8.37398776099495,0.073878769349683,1006.93686778901,995.980706168868,999.948118454723,0.45,8.1737848655428,0.151689098414716
2.71,0.063779348417847,0.0246552762176187,8.53552936817313,-0.290509132238948,-0.04659350737452,0.0500473076250136,-7.80438763983781,3.46860068586845,1.1185515667795,995.994439519076,998.727376212922,999.948118454723,0.45,8.1737848655428,0.0930652922641002
2.72,0.093096558287926,-0.131570710912414,8.7114282072463,0.296069294383482,0.00895773956804681,-0.160927250759113,-7.00480667964188,-5.18741957218884,2.24219610519607,1000.8789344141,995.980706168868,999.948118454723,0.45,8.1737848655428,0.14191846405628
2.73,0.112585640332984,0.00509297190420186,7.83190146470676,-0.055588703769217,0.0166446870755367,-0.111464878612783,1.56010158579684,-7.67514519073462,-2.94815560798176,995.980706168868,1003.91553074058,999.948118454723,0.45,8.1737848655428,0.0344414861134865
2.74,0.210281408644387,-0.0338899625536797,8.5357489177871,-0.290886284310545,0.207939701913471,-0.0461289578409749,8.04024977665857,-2.88062631155888,-1.94889002756585,1003.90027146257,995.980706168868,999.948118454723,0.45,8.1737848655428,0.200542270206894
2.75,0.0638060739706228,0.00512958303817967,8.47674756357522,-0.173205604196326,0.0545295515585788,0.0335269399813115,6.73979354787261,5.14397048688639,-0.939315781675809,993.868822090559,1000.92471224814,999.948118454723,0.45,8.1737848655428,0.0832946579056646
2.76,0.11263828679903,0.0539510290122987,8.71142590709436,-0.642791802901577,0.0371830917639927,0.119228834060294,-1.88951703557237,8.52829689967194,0.14438267796778,1003.88958996798,995.980706168868,999.948118454723,0.45,8.1737848655428,0.151689098414716
2.77,0.11261717456971,0.0344255657303794,8.59418121412374,-0.40793469361443,-0.0919167471385484,0.0736142593482353,-8.13631602417827,2.7976281043326,1.19218489170725,995.994439519082,998.727376212922,999.948118454723,0.45,8.1737848655428,0.122377195339407
2.78,0.141913138103751,0.00511893113312094,8.47700092543717,-0.407998243046045,-0.10750759443298,-0.0927774722744361,-5.9363201325345,-6.06515544238207,2.31883612423616,1003.91553074058,995.980706168868,999.948118454723,0.45,8.1737848655428,0.14191846405628
2.79,0.0540041352731335,0.0831610301383161,8.18360311146412,-0.524783935302134,-0.0659607617998681,-0.0740363523078081,2.66588793791955,-7.75498546531014,-2.87452228303988,995.980706168868,1003.85449362849,999.948118454723,0.45,8.1737848655428,0.0442121204719221
2.8,0.210328997371476,0.00516176865047254,8.59421238119739,-0.525555047814156,0.199112510748768,-0.0679642483531818,8.3566321139728,-2.07446240581214,-1.87519534153425,1003.90027146256,995.980706168868,999.948118454723,0.45,8.1737848655428,0.210312904565329
2.81,0.102803626061256,0.0734486555709083,8.35979038973946,-0.525102373226949,0.12542468851309,0.0152295123989806,5.81217336486639,6.03162238866846,-0.829602127532422,993.86882209057,1000.86367513607,999.948118454723,0.45,8.1737848655428,0.0832946579056646
2.82,0.190739220339023,-0.0729760633953418,8.30113693368087,0.0613263898794958,-0.119221018763449,0.165811051167359,-2.0584107720525,8.04211293201697,0.257962081669138,1006.93686778907,995.980706168868,999.948118454723,0.45,8.1737848655428,0.14191846405628
2.83,0.22975658190701,0.0832512839611353,7.65630233558293,-0.525229932598038,-0.199478162936545,0.141164180025356,-7.52173454543728,1.52261004985679,1.30257351799551,995.994439519088,998.727376212922,999.948118454723,0.45,8.1737848655428,0.0832946579056646
2.84,0.161465173674243,0.0149274219020755,8.35966112113442,-0.525555968820023,-0.116911289879263,-0.112363608579749,-5.07085758149945,-6.66682432082309,2.42854977837878,1003.91553074058,995.937980190414,999.948118454723,0.45,8.1737848655428,0.132147829697843
2.85,-0.0925003197166453,0.171093865650278,8.82853190083514,-0.877119333582132,-0.193144254377506,0.0229067023334747,4.07018086219312,-7.88326972762217,-2.76401093452925,995.980706168868,1003.91553074058,999.948118454723,0.45,8.1737848655428,0.0442121204719221
2.86,0.171279680088339,-0.0046081760157544,8.71135437233083,-0.408193956881163,0.169041373192517,-0.0279817484540245,8.63050150475619,-1.2525019294049,-1.76173866002985,1006.95212706706,993.88713322416,999.948118454723,0.45,8.1737848655428,0.200542270206894
2.87,0.00513508141361814,-0.0143896921769377,8.41831503722177,-0.0558433620034849,-0.00744357439157274,0.0133426197708183,5.50352528828421,6.37042823899699,-0.719152140140035,993.868822090511,1000.92471224815,999.948118454723,0.45,8.1737848655428,0.0442121204719221
2.88,0.161437662638739,-0.0241823200371289,8.41841440383639,-0.290567616136858,-0.0805857529645955,0.141960698574523,-3.29664984583996,7.75153084288458,0.367614374707875,1006.93686778906,993.844407245715,999.948118454723,0.45,8.1737848655428,0.14191846405628
