Motor Name,Nominal Voltage (V),Nominal Current (A),Nominal Power (W),Nominal Speed (rpm),Nominal Torque (mNm),Terminal Resistance (Ω),Terminal Inductance (mH),Torque Constant (mNm/A),Speed Constant (rpm/V),Rotor Inertia (gcm²),Number of Pole Pairs
EC frameless 45 flat 70W 48V,48,0.936,44.9,2540,134,6.89,5.85,131,72.7,240,8
EC frameless 60 flat 100W 12V,12,9.25,111,3170,279,0.128,0.062,30.5,313,1246,7
EC frameless 60 flat 100W 24V,24,5.47,131,3740,289,0.307,0.188,53.4,179,1246,7
EC frameless 60 flat 100W 48V,48,2.78,133,3490,319,1.1,0.864,114,83.4,1246,7
EC frameless 90 flat 160W 12V,12,12.8,154,2670,458,0.0682,0.058,35.6,268,3170,11
EC frameless 90 flat 160W 24V,24,6.39,153,2710,458,0.226,0.232,71.2,134,3170,11
EC frameless 90 flat 160W 36V,36,4.09,147,2630,453,0.533,0.554,110,86.8,3170,11
EC frameless 90 flat 160W 60V,60,2.1,126,2200,460,2.04,2.15,217,44.1,3170,11
EC frameless 90 flat 260W 18V,18,12.1,218,1770,1010,0.109,0.133,80.7,118,5300,11
EC frameless 90 flat 260W 30V,30,7.06,212,1770,988,0.29,0.369,136,70.2,5300,11
EC frameless 90 flat 260W 48V,48,4.06,195,1660,964,0.854,1.07,231,41.3,5300,11
EC frameless 90 flat 260W 60V,60,3.28,197,1690,963,1.29,1.63,286,33.4,5300,11
EC frameless DT 38 S 110W 24V,24,4.8,115,10100,96.8,0.267,0.182,18.2,524,12.2,7
EC frameless DT 38 M 240W 24V,24,4.7,113,5110,186,0.376,0.312,36.2,264,20.3,7
EC frameless DT 50 S 220W 48V,48,4.35,209,5630,322,0.591,0.384,68.5,139,70,10
EC frameless DT 50 M 210W 48V,48,3.84,184,3700,430,0.762,0.571,105,90.7,98.8,10
EC frameless DT 65 S 290W 48V,48,6.26,301,3840,688,0.332,0.458,99.7,95.8,170,10
EC frameless DT 65 M 375W 48V,48,5.87,282,2170,1130,0.466,0.779,176,54.2,275,10
EC frameless DT 85 M 570W 48V,48,11.4,547,2850,1710,0.16,0.367,134,71.4,650,10
EC frameless DT 85 L 680W 48V,48,10.8,518,1580,2840,0.218,0.586,238,40.2,1030,10
