t,iq,id,vq,vd,ia,ib,va,vb,theta_e,omega,omega_obs,r,T_ass,S_pct,T_ass_target,S_pct_target,iq_ref
7.09,0.122377195339407,-0.121824185399602,16.6885172055397,-0.525974909384543,-0.109978954543043,0.133123775656474,1.02034872604989,16.665597637113,-0.0926552672070955,2055.87489833507,2055.82912050098,1999.73601449021,0.28,7.9979216863333,1,0,0.122377195339407
7.1,0.171254580568289,-0.102153687410997,16.8642851468176,-0.996076902181928,-0.0451854715438075,-0.194220957619532,-10.978923089561,-12.8397636466461,2.37516561779962,2041.90655523328,2044.90347743687,1999.73601449021,0.28,7.9979216863333,1,0,0.171230367131587
7.11,0.19079588338863,-0.0241014949032219,16.9816412260124,-0.995592433547843,0.18586727790969,0.0493690811850903,16.6965124157472,3.25481430707535,-1.4368316137837,2048.01942200908,2052.83830200858,1999.73601449021,0.28,7.9979216863333,1,0,0.200542270206894
7.12,0.112703687555644,0.00505673810717531,17.2745704841127,-0.760055397337489,-0.0940255724298152,0.0623448756368183,-15.2018357241362,8.23970025146414,1.03013021575502,2057.72127097579,2057.68464870852,1999.73601449021,0.28,7.9979216863333,1,0,0.181001001490023
7.13,0.190739214852552,-0.102331184406661,16.6886631749546,-0.760542051956548,0.189186135123397,-0.105174738705212,9.65956341599234,-13.6302141359666,-2.57060073437937,2057.76247102647,2060.67546720094,1999.73601449021,0.28,7.9979216863333,1,0,0.14191846405628
7.14,0.132009847212096,-0.034026003946842,16.8651123750792,-0.760054577594883,-0.0114892395810655,0.135839486451475,2.0687318706213,16.7550006515203,-0.167883980837646,2055.87489833505,2062.86669952498,1999.73601449021,0.28,7.9979216863333,1,0,0.132147829697843
7.15,0.219986003108078,0.00517022296138268,16.6889563421407,-1.23025589602521,-0.166354839487447,-0.14403694022036,-11.5297308065749,-12.1284830414814,2.30791384770307,2047.99500716423,2052.83830200858,1999.73601449021,0.28,7.9979216863333,1,0,0.171230367131587
7.16,0.151656541005103,-0.0827654294257265,16.6300587342415,-0.643212370077042,0.13094810907077,0.11270499309457,16.1261304647513,4.11345255122278,-1.35970070592727,2052.87797613142,2062.97046261554,1999.73601449021,0.28,7.9979216863333,1,0,0.112606560980971
7.17,0.112573958100031,-0.112028371340463,16.7473668393843,-0.643408698737559,-0.146553091143003,-0.0612000286269112,-15.7494418256907,5.73091205531063,1.18341025381969,2052.86271685343,2060.7120894682,1999.73601449021,0.28,7.9979216863333,1,0,0.0930652922641002
7.18,0.073572996075632,0.063688092484256,16.8642339653952,-1.46462288446411,-0.008733174414467,-0.0969169259751598,11.0375246933308,-12.8343506293618,-2.51795290706346,2049.78644640407,2057.78230808787,1999.73601449021,0.28,7.9979216863333,1,0,0.0930652922641002
7.19,0.0638024299237722,-0.0338793932930963,17.0401463065263,-0.643115367051127,-0.0279208602152362,0.0666257376614128,0.913258676511441,17.0278049704869,-0.0913053229191935,2075.61277445719,2055.92677988034,1999.73601449021,0.28,7.9979216863333,1,0,0.112606560980971
7.2,0.0734094360160852,0.0539254610647859,16.9823272617904,-1.22966704666997,-0.0897341192953895,-0.0156425215847781,-10.8692114225722,-13.1061727183661,2.37694508981774,2070.75422033474,2062.90942550344,1999.73601449021,0.28,7.9979216863333,1,0,0.112606560980971
7.21,-0.0923718557590515,-0.12188046743,17.8019083606542,-0.408160758872097,-0.114637869231158,0.101220388338843,17.370105556064,3.91841415082772,-1.37185020453641,2073.77555738322,2060.67546720094,1999.73601449021,0.28,7.9979216863333,1,0,0.112606560980971
7.22,0.0637862194260269,0.0442039129126137,17.0402436194683,-0.995105232432775,-0.041668107978372,0.0654708827109726,-16.0940134642857,5.68707900822891,1.17279478281446,2055.8352242122,2049.90852062824,1999.73601449021,0.28,7.9979216863333,1,0,0.102835926622536
7.23,0.229796640792703,-0.229012227700225,16.395543658446,0.0598730201154422,0.324417645161322,0.00250760120694768,11.6603777391978,-11.5261887722597,-2.3467554265864,2055.96492807536,2057.72127097579,1999.73601449021,0.28,7.9979216863333,1,0,0.14191846405628
7.24,0.239460201742577,-0.190077346757962,16.4546920553107,0.177991295603917,-0.206090858939837,0.225825472058806,-0.953716230018873,16.4279943051188,0.0688058752826685,2050.29113424773,2057.72127097579,1999.73601449021,0.28,7.9979216863333,1,0,0.161459732773151
7.25,0.249288300383517,-0.0924448939424189,16.3957423788484,-0.995897241648278,-0.0639264721018539,-0.258077742722496,-8.40658193365729,-14.111752536882,2.54366320968237,2039.89538238994,2055.89015761308,1999.73601449021,0.28,7.9979216863333,1,0,0.14191846405628
7.26,0.112763368561744,0.180571843900541,16.8050818834658,-1.81521836549413,0.14739973342742,-0.153606922645297,16.0755790931896,5.2231744794737,-1.36424142763294,2044.96756640456,2060.71208946818,1999.73601449021,0.28,7.9979216863333,1,0,0.112606560980971
7.27,0.0541149852036313,0.0732265052073636,16.7466253911871,-0.993813316076945,-0.0223448308319288,0.0882681212191908,-15.8751466625954,5.42372983665762,1.18230575394367,2057.69685613092,2060.77312658029,1999.73601449021,0.28,7.9979216863333,1,0,0.073524023547229
7.28,0.0442866023672978,0.0633230493488448,16.6295155287513,-1.11074241644355,-0.0207456666331413,-0.0744360735397962,11.4259848810535,-12.1334828031611,-2.45291013670498,2055.80928343952,2060.7120894682,1999.73601449021,0.28,7.9979216863333,1,0,0.0539827548303577
7.29,0.151680811280731,-0.180288717154508,16.5712591217072,-0.526586165076355,-0.175673376818254,0.157003040484159,-0.0309254019504966,16.5795948529368,-0.0299011200766072,2047.827563967,2049.78644640407,1999.73601449021,0.28,7.9979216863333,1,0,0.122377195339407
7.3,0.112589963977494,0.12228591182028,16.7471711216271,-1.34689043509422,-0.166052076916124,-0.00755327544925211,-9.74066348535266,-13.6894605184546,2.44290827673206,2041.85162183236,2049.90852062827,1999.73601449021,0.28,7.9979216863333,1,0,0.112606560980971
7.31,0.0930902218728126,0.102819306883394,16.9816371314993,-1.46461755613013,0.11193278515854,-0.0819063543503388,16.3361877603292,4.86313414486063,-1.36749356614611,2047.97974788622,2055.98781699243,1999.73601449021,0.28,7.9979216863333,1,0,0.14191846405628
7.32,0.122318946677588,0.161284986787694,16.747420886966,-1.69877373376735,-0.0347566485823761,0.199416015050803,-15.6622781190623,6.1688720755797,1.09449801397031,2060.70903761257,2052.93596138792,1999.73601449021,0.28,7.9979216863333,1,0,0.122377195339407
7.33,0.161401404536508,0.0440954639986356,16.6301634173112,-1.69927309441469,0.0579427546705609,-0.156963245738611,11.049804460687,-12.5439900237707,-2.52126640665975,2057.64192273007,2047.89429592927,1999.73601449021,0.28,7.9979216863333,1,0,0.132147829697843
7.34,0.141751584596332,0.04418708855293,16.7479725544497,-1.22975967772865,0.0682642726727801,0.131855980550038,1.71409838464466,16.705351246751,-0.175545741955054,2055.85048349024,2048.06757398306,1999.73601449021,0.28,7.9979216863333,1,0,0.132147829697843
7.35,0.112614916321801,0.0052465578097902,16.805774879921,-1.230462198235,-0.0822317071100778,-0.0771206333790123,-10.8274378247775,-12.9118045480269,2.37068625719985,2057.67244128608,2052.89933912067,1999.73601449021,0.28,7.9979216863333,1,0,0.112606560980971
7.36,0.17123873384024,0.11253962731175,16.6884669795043,-1.58194327591261,0.184604976608858,-0.0889318519649688,16.3332230325777,3.77270460310433,-1.43830428028242,2062.8834847308,2055.89015761308,1999.73601449021,0.28,7.9979216863333,1,0,0.151689098414716
7.37,0.0930988045700388,0.00527201033841859,17.0402395249542,-1.1131356587095,-0.0807426869461942,0.0466454714853173,-15.714779375595,6.68240549793815,1.10349908746411,2049.81706293301,2048.05305105154,1999.73601449021,0.28,7.9979216863333,1,0,0.132147829697843
7.38,0.21999125503714,-0.170599214861607,16.5130087199485,-0.408868880960173,0.267532907848942,-0.0769830346381744,10.0720671896406,-13.0919858415093,-2.5105895745621,2048.00416273108,2049.78644640407,1999.73601449021,0.28,7.9979216863333,1,0,0.151689098414716
7.39,0.122301588030772,-0.0924675499892613,17.0993972027173,-0.17391236004672,-0.0819195925497729,0.129603651925185,1.25618658540133,17.0540794377161,-0.0836965460018015,2044.99350717723,2048.05299242071,1999.73601449021,0.28,7.9979216863333,1,0,0.161459732773151
7.4,0.180933704050802,-0.121762480922947,16.688870698561,-0.761054938381019,-0.0347903235371142,-0.215296865769656,-10.8514712805637,-12.7020935620717,2.38903322733368,2052.90391690407,2060.77312658029,1999.73601449021,0.28,7.9979216863333,1,0,0.132147829697843
7.41,0.0247213930410419,0.0441700027335963,17.0988923491727,-1.22985804699443,0.0302302942390033,-0.0405988389686068,16.7958922840642,3.43258980457403,-1.44100416886978,2057.68159685294,2052.77726489648,1999.73601449021,0.28,7.9979216863333,1,0,0.0832946579056646
7.42,0.112539081656995,0.0833537023141444,16.3369987929089,-1.58254824689818,-0.0528213187042147,0.129702709609408,-14.7795390338813,7.13913261252704,1.02423954976447,2065.85599208952,2049.74982413682,1999.73601449021,0.28,7.9979216863333,1,0,0.0539827548303577
7.43,0.0539405234137122,-0.0243934771203567,16.4541550598337,-0.759535133220181,0.0513061525915907,-0.0295347337623857,10.2272650948177,-12.9119774253199,-2.51783018485525,2062.84381060792,2052.74064262924,1999.73601449021,0.28,7.9979216863333,1,0,0.0344414861134865
7.44,-0.0142848209123154,0.239362620456792,17.2743963307995,-2.05073736735015,0.233617006629258,-0.0540519601311966,0.862453058759247,17.3743047937125,-0.167761258637349,2055.87489833506,2052.83830200858,1999.73601449021,0.28,7.9979216863333,1,0,0.112606560980971
7.45,0.161459732773151,-0.111923241828003,16.9231328698892,-0.76116150508204,-0.0464041094826071,-0.190899753775622,-12.1480989240777,-11.8065865303891,2.29699157116508,2041.90655523329,2047.89429592928,1999.73601449021,0.28,7.9979216863333,1,0,0.181001001490023
7.46,0.161485173933392,0.0441527577646931,16.8056723123516,-1.46450948656105,0.163700257741493,-0.0350592788558811,16.6975662818767,2.40139338066522,-1.51488293821151,2048.00416273107,2052.74064262923,1999.73601449021,0.28,7.9979216863333,1,0,0.151689098414716
7.47,0.200525286697753,0.014815299850912,16.7472730750196,-1.22965229127867,-0.154925062079069,0.128172184403189,-14.36711457515,8.69305579133348,0.953367474525086,2055.89015761308,2055.829120501,1999.73601449021,0.28,7.9979216863333,1,0,0.181001001490023
7.48,0.200516760839687,-0.0535197324796428,16.7472732115037,-1.23006052373268,0.142231042347562,-0.1511345881493,9.02698767804467,-14.1597211262519,-2.64736347560965,2055.92525395252,2057.68464870853,1999.73601449021,0.28,7.9979216863333,1,0,0.161459732773151
7.49,0.161417160322327,-0.102279278983295,16.3367981617352,-0.291145585394967,-0.0601474054972239,0.181380374263091,3.67354133582428,15.9210814325899,-0.244585360974938,2052.83830200858,2057.72127097579,1999.73601449021,0.28,7.9979216863333,1,0,0.073524023547229
7.5,0.151723201846703,-0.00462399960426215,16.7469663959394,-0.9953063429322,-0.117275728717677,-0.0963727907902093,-12.6483940854679,-11.0213268367156,2.22819979569753,2044.9432629592,2049.84749572603,1999.73601449021,0.28,7.9979216863333,1,0,0.14191846405628
