,Unnamed: 0.1,Unnamed: 0,t,iq,id,vq,vd,ia,ib,va,vb,theta_e,omega,omega_obs,r,omega_ekf,omega_meta
1098,1098,1098,10.98,0.083392364250879,-0.0433327633731424,2.37637514105288,0.177317944087176,0.0272819626057263,0.0899316924853735,1.78752039384818,1.57587160196706,-0.773763522793154,252.853866472162,252.853866472162,249.802010867657,257.767995264923,176.70807
1099,1099,1099,10.99,0.102493954413678,0.0050318766927916,2.1441056333892,-0.172618462563523,-0.0839094053676725,0.059072346874389,-1.90395935799647,1.00096196923099,1.00644482958046,252.853866472162,250.717567549009,249.802010867657,257.002397148303,195.16196
1100,1100,1100,11.0,0.0147536578782729,-0.0238892010004442,2.26024038722156,0.177317944080918,0.0225380829397083,-0.0167451235478147,-0.370213371258085,-2.23675441679731,3.05585661789658,255.905722076665,260.788691043872,249.802010867657,257.873543337684,195.01764
1101,1101,1101,11.01,0.0737194362386992,0.0050318766924445,2.3174279553755,-0.0551901381685117,0.0737258300099787,0.0049373121978795,2.28890701034106,0.366637392689948,-1.43577620278643,252.853866472162,252.853866472162,249.802010867657,257.218680700728,168.57124
1102,1102,1102,11.02,0.0929187327452372,-0.0143139793327829,2.20158647113628,0.0610639029535958,-0.0450733760357619,0.082505585702175,-0.691614559753807,2.09102393359588,0.347156582609199,252.853866472162,247.970897504955,249.802010867657,258.133997978686,179.35176
1103,1103,1103,11.03,0.0537384889651521,0.0146559515314097,2.02621126205111,-0.172031320922376,-0.0496513385049177,-0.0252461223996654,-1.38528768404281,-1.4886587541409,2.30744750331978,255.905722076665,255.905722076665,249.802010867657,254.550016015939,175.49213
1104,1104,1104,11.04,0.0733286108546479,0.0246708517550509,2.31918757290186,-0.290633928589255,0.0436189109269342,-0.0638993482419052,2.02533050305468,-1.16667708992073,-2.21808119127142,252.853866472162,250.717567549009,249.802010867657,259.434232352314,156.70947
1105,1105,1105,11.05,0.0734263172007649,0.014607098357223,2.31860103372526,-0.0540158548855919,0.0342714085558853,0.0665602128578367,0.586870621780398,2.24374939319478,-0.279119390349037,252.853866472162,247.970897504955,249.802010867657,256.81817935888,156.66559
1106,1106,1106,11.06,0.11226458876774,0.0047876108249479,2.02679780123698,-0.054015854882463,-0.112352612247863,-0.0017747196066126,-2.02018727437237,-0.172251026532998,1.62921094740253,252.853866472162,250.673620828565,249.802010867657,257.98489345046,166.24585
1107,1107,1107,11.07,0.122377195339407,0.0147048047029929,2.25965384804882,-0.172618462554971,0.0128156774239373,-0.122589427083489,0.669703622222126,-2.16502418115809,-2.91784322250929,250.717567549009,248.014844225375,249.802010867657,257.755756494617,168.77487
1108,1108,1108,11.08,0.0635579764948238,0.0233029628972641,2.0259179924713,0.0686967442983108,0.063776195782197,0.022698927451726,1.60204883245762,1.24197523860877,-0.877439244277203,255.905722076665,250.751748331538,249.802010867657,256.892163038873,147.72632
