t,iq,id,vq,vd,ia,ib,va,vb,theta_e,omega,omega_obs,r,T_ass,S_pct,T_ass_target,S_pct_target,iq_ref
2.57,0.171201371140868,0.200478479027311,15.8087606838195,-1.22967718673251,0.194129602183082,-0.178368235933015,15.5450747287356,3.12724671554287,-1.44990152896064,1960.96676681838,1932.93699901883,1999.73601449021,0.23,4.98932613502302,0.5,0,0.239624807640636
2.58,0.855139841643165,-0.00467307101760134,17.2751961604922,-1.46474225043388,-0.327507341868586,0.789952484254848,-7.88488134281432,15.4404183380318,0.387556733537675,1950.945998941,1945.60219977749,1999.73601449021,0.23,4.98932613502302,0.5,0,0.943110481448008
2.59,1.57819879258238,-0.112056663820156,18.1548300237461,-2.05237487460961,-1.1207285520442,-1.11679704398244,-12.3931570629436,-13.4245951086151,2.28355348935399,1966.81107030106,1981.57136993213,1999.73601449021,0.23,4.98932613502302,0.5,0,1.66613742397225
2.6,0.659765018499825,-0.170674366145262,17.8616131370056,-1.93505353744364,0.672577170360011,0.109816068066941,17.9636430267571,0.298639006269609,-1.66208822696335,2015.90016769944,2041.71123647455,1999.73601449021,0.23,4.98932613502302,0.5,0,0.737927159920858
2.61,-0.649482305874283,-0.0144322987814221,15.0462075550936,-1.23002513252111,0.37576973706724,-0.529936469396388,-9.96095050304536,11.3437554933748,0.639014538169073,2047.88971814586,2057.72127097579,1999.73601449021,0.23,4.98932613502302,0.5,0,-0.776521165636678
2.62,-1.16734653997411,0.024617643548655,14.049126471965,0.179257003033971,0.107916525268007,1.16260827295246,-1.7712509276797,-13.9381762741615,3.02794967605735,2034.83235394201,2027.00491173466,1999.73601449021,0.23,4.98932613502302,0.5,0,-1.23574098048316
2.63,-0.796023859531866,-0.151170893757035,14.8700498648425,0.883542328112757,-0.795800812927644,-0.152340704366922,14.1518950873386,4.65004252297018,-1.19398123588535,1997.889592863,1973.91738936463,1999.73601449021,0.23,4.98932613502302,0.5,0,-0.688585456410758
2.64,0.0246589374491285,0.171185688484378,15.9846523318535,-0.877524964499139,0.130691497068324,0.113279899947125,-9.37873815809517,12.973759316229,0.571087795921393,1960.93624826233,1932.99803613095,1999.73601449021,0.23,4.98932613502302,0.5,0,0.151689098414716
2.65,0.952842247641381,-0.141331266996271,17.2165280888942,-0.291101065453477,-0.534275584468115,-0.801518855525124,-11.3317532862438,-12.9647578737781,2.40639841979546,1945.78378518608,1942.8677371559,1999.73601449021,0.23,4.98932613502302,0.5,0,1.0505874593908
2.66,1.51960191772656,0.0148882128311913,18.096067062863,-2.52173602285121,1.41886251152322,-0.544280093916349,17.8383579063817,-3.95218710544025,-1.92729091890601,1968.91227288472,1979.77687883674,1999.73601449021,0.23,4.98932613502302,0.5,0,1.60751361782164
2.67,0.982205068577213,-0.287890037727339,17.5096177792833,-1.34810432976743,-0.511791648699216,0.886384103469345,-5.44668712076694,16.6954394811578,0.238510611654047,2013.78523176555,2039.55662641771,1999.73601449021,0.23,4.98932613502302,0.5,0,0.952881115806445
2.68,-0.571383199705082,0.0148004350863992,14.7532828542266,-1.4645174281054,0.288919914181599,0.493176537330459,-6.54057123782855,-13.3050777583948,2.5857569271009,2044.88821815882,2065.8575180174,1999.73601449021,0.23,4.98932613502302,0.5,0,-0.776521165636678
2.69,-1.22597034612472,0.092983347564355,14.2837248652441,-0.172840844196524,-1.15890923703861,-0.410583210577385,13.7406808057661,3.90491497698297,-1.30600973983396,2041.82720698753,2031.88426142808,1999.73601449021,0.23,4.98932613502302,0.5,0,-1.25528224920003
2.7,-0.864478198762291,0.0637442503746403,13.9905467876167,0.296580916572813,0.678254672947971,-0.539774475327762,-10.0754785026946,9.71123537961601,0.825000044715768,2000.91555668132,1973.95393834343,1999.73601449021,0.23,4.98932613502302,0.5,0,-0.923080681013214
2.71,-0.00465022398193676,0.0734995631160801,15.398112696872,-0.52534358858511,-0.0604133663849985,0.0421193010788256,-7.54215583856372,-13.4347960839924,2.5959428703809,1955.80455306341,1932.93699901883,1999.73601449021,0.23,4.98932613502302,0.5,0,0.0637533891887934
