t,iq,iq_ref,id,vq,vd,ia,ib,va,vb,theta_e,omega,r
49.731,0.433654357621938,0.903984068573155,-0.00164062419355318,10.1606774656851,0.150897233423414,-0.418828713761666,0.112433545087705,-9.76352662749009,2.81703466983059,1.30474878125822,1016.37468683535,1000
49.732,0.465631182171312,0.527180229064851,0.256703172294758,9.80137024803057,-0.13040721360751,-0.531541718478842,0.0131269948200192,-8.63748476892478,-4.63440628850474,2.04994716849081,1016.82897794655,1000
49.733,0.184424526598184,-0.0623265028595549,0.168169768745194,9.48616512482871,-0.0930479825677154,-0.220766634798073,-0.116428390398177,-3.13095490349919,-8.95506047410238,2.79543928666361,1017.10552526758,1000
49.734,0.155210820606408,-0.641951374969071,-0.0225395977940569,8.83193316767547,0.0854984736013076,0.0811315906043821,-0.134224056368578,3.35626430171852,-8.16981293569713,-2.74211942557749,1017.24852305311,1000
49.735,-0.113713598805502,-0.992817639216985,-0.000913467660099809,8.57121681814112,0.0673668751734418,-0.103191542177523,0.0477820321824952,7.77872539091699,-3.60023989925104,-1.99641012527329,1017.29119918214,1000
49.736,-0.628927780391163,-0.982412231813727,0.0149701477129893,8.97081818968702,0.0392085271351104,-0.592294466023299,-0.212041325661955,8.52779209108875,2.78457866690526,-1.25081070737269,1016.90027459544,1000
49.737,-0.628144340338738,-0.614642140530683,-0.289733786527346,9.31759798910601,0.370144391906107,-0.557731751366415,-0.409201995196522,4.83699135724093,7.97233678211279,-0.505642998544707,1016.21393875208,1000
49.738,-0.147199852997063,-0.0283792003775428,-0.118076890831737,9.4314526935651,0.243727163592034,-0.0798516905315161,-0.170978526108122,-1.99711113283138,9.22080527743374,0.239129224413666,1015.88524158306,1000
49.739,0.0623219545825885,0.554969208366793,0.238867595711309,9.86430560138836,-0.122618884619333,0.0804125714588331,0.233400027110696,-8.28095700586676,5.36146542052014,0.983789310066149,1015.86516941104,1000
49.74,0.0589692817815769,0.915073094218008,0.0798775700014439,10.3802219395277,-0.00732136851559491,-0.0707788814868722,0.0696286745431642,-10.2503403432343,-1.63694348227211,1.72845033222228,1015.86373211613,1000
49.741,0.306151343627068,0.902779359139797,0.144394280601809,10.2710722153255,-0.0909098841800508,-0.303058851199382,-0.15077694182097,-6.29420622602816,-8.11702883102566,2.47316173858522,1016.03053233359,1000
49.742,0.422710262161507,0.543997566426792,0.38928628322852,9.87101901982412,-0.38576724653229,-0.355856198357521,-0.4512140757302,1.13872544229299,-9.81270285014793,-3.06512426411803,1016.3582436651,1000
49.743,0.04315686640301,-0.0388884352321288,0.35338351420301,9.662331507753,-0.436825587304201,-0.209067089266126,-0.288155123872518,7.3726963082394,-6.26057632378306,-2.3199791202894,1016.62208548745,1000
49.744,-0.0880795805051005,-0.62569944914,0.0766949688856424,9.15239803118161,-0.194257158487715,-0.0883840082341366,-0.0763439443753871,9.15309843615389,0.157843539234387,-1.57477475713018,1016.56408382329,1000
49.745,-0.182317840861172,-0.994750194552157,0.0863455703100092,8.72493909761286,-0.218747936550399,-0.0761937694199862,-0.186788281511487,6.28845403655971,6.05208713972911,-0.829615831911566,1016.50029960263,1000
49.746,-0.542525233344342,-1.0066009925005,-0.0106212175617555,8.93413494682235,-0.130215832208437,-0.0564145430779996,-0.539688649507406,0.624984953922317,8.91319904514427,-0.0845785187963219,1016.18258989213,1000
49.747,-0.711187318351815,-0.656752111609817,-0.242453560279231,9.41838175545616,0.124695268093973,0.244558768706264,-0.710466142279417,-5.67663442412867,7.51646761558858,0.660076382698411,1015.49807856686,1000
49.748,-0.255298734547174,-0.0773640035455179,-0.401067713902658,9.57101429458355,0.360056477210168,0.185284279223375,-0.437838430096271,-9.37891956183913,1.94160324125573,1.40426382181067,1015.01621885423,1000
49.749,0.120482227800169,0.512658556441906,-0.08137494839074,9.84013629722134,0.0954143166680812,-0.0565217507848486,-0.133952010546699,-8.29657945480157,-5.29189527389599,2.14827223528343,1014.98086008775,1000
49.75,0.139630747480914,0.890369285829463,0.154399913325321,10.306404835984,-0.151228455172051,-0.184071299346995,-0.0972308368453873,-2.39569436499712,-10.0252430992156,2.89235318995644,1015.16429849145,1000
49.751,0.317090078199822,0.908884496687684,-0.0485337484621986,10.29223323088,0.04916739429664,0.193329235861635,-0.255979391736362,4.84563071123009,-9.08032737966401,-2.6466190919393,1015.35868992239,1000
49.752,0.524124676197358,0.567903632394193,0.0605416811386254,9.81307756220393,-0.0577287013372425,0.475906755722606,-0.227782201261776,9.29789737071368,-3.13830022917883,-1.90220003839264,1015.7305102581,1000
