t,iq,id,vq,vd,ia,ib,va,vb,theta_e,omega,r
0.57,4.20690396675817,0.210104781169562,29.6731506698041,-10.1771605521467,-3.80157068238658,1.81390334676762,-31.3038695840611,2.03426071120667,1.17550008606411,2025.97469802062,3306.45
0.58,4.18608941762159,0.239858995200658,30.7179616026804,-11.5607025459264,4.05038897273289,-1.08407846554846,32.4244910563935,5.08875113490471,-1.77507819031435,2311.22851963153,3306.45
0.59,4.07125385617099,0.271196689985365,36.464104864379,-13.1092361268859,1.74186375563601,-3.68979217068493,29.1802087061173,-25.4950668808363,-2.63401811645922,2595.78281983721,3306.45
0.6,2.79520399874267,0.134775401112222,39.7274070403497,-6.49581127636913,2.7951710783446,0.13545643623639,38.9156478041335,10.2973195673665,-1.47419398782034,2847.14088206001,3306.45
0.61,1.58172940512822,0.184917418139529,40.5331084459329,-8.99667989025555,-1.3826810200855,0.790098449102379,-40.8160625829824,7.61066124325259,1.16803301878648,3004.0746772062,3306.45
0.62,0.882400213975485,0.127855829148371,38.7176055359943,-6.26086443156469,0.883941071313805,-0.116728030548799,38.6356496510319,6.748183304713,-1.5581966650206,3101.21140200724,3306.45
0.63,0.452000359504906,0.0267460169222788,37.6842113433598,-1.36631236541425,0.452720698803571,0.00797767438401083,37.4686265712195,4.25071957642414,-1.49407288604313,3160.74808742675,3306.45
0.64,0.192583072851232,0.0543867256666583,36.9227492703619,-2.70139412048532,-0.0864180299760931,-0.18049398874371,-3.63190499615914,-36.8428583306871,2.97029857898273,3197.22744733933,3306.45
0.65,-0.0545197507696062,0.0803812474628197,40.7003701019643,-3.96652822030327,0.0697547548670654,0.0675856666838069,-40.6547120553318,4.40997281821485,1.36559494781075,3220.38988468481,3306.45
0.66,-0.090506172955339,-0.0445064561734891,37.2729006634181,2.15024455123784,-0.0537143527375593,-0.0853636942390001,6.03076169515768,36.8445733978748,-0.104617090038755,3234.47272888792,3306.45
0.67,-0.149893993478129,0.0202142172912593,36.9156917666736,-0.975691275019543,-0.147801643350922,-0.0321169438814847,36.7199537307987,3.91985587543817,-1.49087315352816,3243.85375342128,3306.45
0.68,-0.202098500342102,0.0124174176423863,37.561743313307,-0.736190444173849,-0.0749487622907737,0.188097525588491,12.4368855802895,-35.4506757928201,-2.82378247785604,3249.29441524581,3306.45
